Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Lancia Delta HF Integrale,00:03:43.2810000,00:00:00,00:00:00,PSN,
2,DonKac11,Ford Escort RS Cosworth,00:03:43.5550000,00:00:00,00:00:00.2740000,PSN,
3,Justokas,SUBARU Legacy RS,00:03:49.2730000,00:00:00,00:00:05.9920000,STEAM,
4,PALiX00,Lancia Delta HF Integrale,00:03:55.0880000,00:00:00,00:00:11.8070000,STEAM,
5,BartasLT,SUBARU Impreza 1995,00:04:15.5480000,00:00:00,00:00:32.2670000,XBOX,
6,citradex,SUBARU Impreza 1995,00:04:33.0650000,00:00:00,00:00:49.7840000,STEAM,
7,-Aleliumbas-,Lancia Delta HF Integrale,00:04:43.9310000,00:00:00,00:01:00.6500000,STEAM,
8,gruduvinis,Lancia Delta HF Integrale,00:05:10.6590000,00:00:38,00:01:27.3780000,STEAM,
