Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,3skimas,ŠKODA Fabia RS Rally2,00:10:06.5540000,00:00:00,00:00:00,STEAM,
2,DonKac11,ŠKODA Fabia RS Rally2,00:10:13.7300000,00:00:00,00:00:07.1760000,PSN,
3,Pablitas555,ŠKODA Fabia Rally2 Evo,00:10:19.7320000,00:00:00,00:00:13.1780000,PSN,
4,PALiX00,ŠKODA Fabia RS Rally2,00:10:21.0640000,00:00:00,00:00:14.5100000,STEAM,
5,Liekorius,ŠKODA Fabia RS Rally2,00:10:25.8430000,00:00:00,00:00:19.2890000,STEAM,
6,RallyFanatikai,ŠKODA Fabia RS Rally2,00:10:30.8100000,00:00:00,00:00:24.2560000,STEAM,
7,TerryMakichut,ŠKODA Fabia RS Rally2,00:10:34.4900000,00:00:00,00:00:27.9360000,STEAM,
8,NiviDzimka,ŠKODA Fabia RS Rally2,00:10:34.9230000,00:00:00,00:00:28.3690000,EA,
9,BartasLT,ŠKODA Fabia RS Rally2,00:10:37.4040000,00:00:00,00:00:30.8500000,XBOX,
10,Balint2105,Hyundai i20 N Rally2,00:10:38.6730000,00:00:05,00:00:32.1190000,XBOX,
11,vadishius,ŠKODA Fabia RS Rally2,00:10:40.9030000,00:00:00,00:00:34.3490000,STEAM,
12,-Aleliumbas-,ŠKODA Fabia RS Rally2,00:10:41.2690000,00:00:00,00:00:34.7150000,STEAM,
13,ItalasLT,Ford Fiesta Rally2,00:10:47.4140000,00:00:00,00:00:40.8600000,STEAM,
14,The_Bad_X11,ŠKODA Fabia RS Rally2,00:11:21.5320000,00:00:06,00:01:14.9780000,XBOX,
15,Justokas,Volkswagen Polo GTI R5,00:11:41.5850000,00:00:09,00:01:35.0310000,STEAM,
16,Wycka2007,ŠKODA Fabia RS Rally2,00:11:59.6520000,00:00:07,00:01:53.0980000,PSN,
17,gruduvinis,ŠKODA Fabia RS Rally2,00:12:20.6010000,00:00:00,00:02:14.0470000,STEAM,
18,ltukj72,ŠKODA Fabia RS Rally2,00:14:37.2600000,00:00:00,00:04:30.7060000,STEAM,
