Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,FearLesscze,ŠKODA Fabia RS Rally2,00:04:26.7250000,00:00:00,00:00:00,STEAM,
2,Pablitas555,ŠKODA Fabia Rally2 Evo,00:04:34.0740000,00:00:00,00:00:07.3490000,PSN,
3,DonKac11,ŠKODA Fabia RS Rally2,00:04:35.3710000,00:00:00,00:00:08.6460000,PSN,
4,PALiX00,ŠKODA Fabia RS Rally2,00:04:35.9110000,00:00:00,00:00:09.1860000,STEAM,
5,3skimas,ŠKODA Fabia RS Rally2,00:04:36.4150000,00:00:00,00:00:09.6900000,STEAM,
6,Balint2105,Hyundai i20 N Rally2,00:04:37.1410000,00:00:00,00:00:10.4160000,XBOX,
7,ItalasLT,Ford Fiesta Rally2,00:04:38.8020000,00:00:00,00:00:12.0770000,STEAM,
8,-Aleliumbas-,ŠKODA Fabia RS Rally2,00:04:42.5140000,00:00:00,00:00:15.7890000,STEAM,
9,Liekorius,ŠKODA Fabia RS Rally2,00:04:44.8730000,00:00:00,00:00:18.1480000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:04:44.8750000,00:00:00,00:00:18.1500000,XBOX,
11,NiviDzimka,ŠKODA Fabia RS Rally2,00:04:49.2030000,00:00:00,00:00:22.4780000,EA,
12,Justokas,Volkswagen Polo GTI R5,00:04:51.4030000,00:00:00,00:00:24.6780000,STEAM,
13,RallyFanatikai,ŠKODA Fabia RS Rally2,00:04:51.6710000,00:00:00,00:00:24.9460000,STEAM,
14,vadishius,ŠKODA Fabia RS Rally2,00:04:53.4480000,00:00:00,00:00:26.7230000,STEAM,
15,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:55.7480000,00:00:05,00:00:29.0230000,STEAM,
16,Wycka2007,ŠKODA Fabia RS Rally2,00:05:05.1160000,00:00:00,00:00:38.3910000,PSN,
17,gruduvinis,ŠKODA Fabia RS Rally2,00:05:22.1120000,00:00:00,00:00:55.3870000,STEAM,
18,citradex,ŠKODA Fabia RS Rally2,00:05:32.2280000,00:00:00,00:01:05.5030000,STEAM,
19,The_Bad_X11,ŠKODA Fabia RS Rally2,00:05:33.1870000,00:00:27,00:01:06.4620000,XBOX,
20,ltukj72,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:33.2750000,STEAM,
