Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Lancia Delta HF Integrale,00:09:22.4750000,00:00:00,00:00:00,PSN,
2,DonKac11,Ford Escort RS Cosworth,00:09:30.2500000,00:00:00,00:00:07.7750000,PSN,
3,PALiX00,Lancia Delta HF Integrale,00:09:47.2500000,00:00:05,00:00:24.7750000,STEAM,
4,BartasLT,SUBARU Impreza 1995,00:10:07.8860000,00:00:05,00:00:45.4110000,XBOX,
5,Justokas,SUBARU Legacy RS,00:10:08.4420000,00:00:00,00:00:45.9670000,STEAM,
6,-Aleliumbas-,Lancia Delta HF Integrale,00:10:27.8880000,00:00:00,00:01:05.4130000,STEAM,
7,gruduvinis,Lancia Delta HF Integrale,00:13:43.3750000,00:00:17,00:04:20.9000000,STEAM,
8,citradex,SUBARU Impreza 1995,00:25:00,00:25:00,00:15:37.5250000,STEAM,
