Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,3skimas,ŠKODA Fabia RS Rally2,00:04:58.0780000,00:00:00,00:00:00,STEAM,
2,Pablitas555,ŠKODA Fabia Rally2 Evo,00:05:07.3420000,00:00:00,00:00:09.2640000,PSN,
3,ItalasLT,Ford Fiesta Rally2,00:05:09.0920000,00:00:00,00:00:11.0140000,STEAM,
4,ltukj72,ŠKODA Fabia RS Rally2,00:05:10.2430000,00:00:00,00:00:12.1650000,STEAM,
5,The_Bad_X11,ŠKODA Fabia RS Rally2,00:05:11.5230000,00:00:00,00:00:13.4450000,XBOX,
6,PALiX00,ŠKODA Fabia RS Rally2,00:05:13.6680000,00:00:00,00:00:15.5900000,STEAM,
7,DonKac11,ŠKODA Fabia RS Rally2,00:05:16.7010000,00:00:00,00:00:18.6230000,PSN,
8,Balint2105,Hyundai i20 N Rally2,00:05:17.0100000,00:00:00,00:00:18.9320000,XBOX,
9,BartasLT,ŠKODA Fabia RS Rally2,00:05:17.6340000,00:00:00,00:00:19.5560000,XBOX,
10,Liekorius,ŠKODA Fabia RS Rally2,00:05:18.7470000,00:00:00,00:00:20.6690000,STEAM,
11,-Aleliumbas-,ŠKODA Fabia RS Rally2,00:05:18.9700000,00:00:00,00:00:20.8920000,STEAM,
12,RallyFanatikai,ŠKODA Fabia RS Rally2,00:05:19.6990000,00:00:00,00:00:21.6210000,STEAM,
13,TerryMakichut,ŠKODA Fabia RS Rally2,00:05:23.2010000,00:00:00,00:00:25.1230000,STEAM,
14,Justokas,Volkswagen Polo GTI R5,00:05:24.0550000,00:00:00,00:00:25.9770000,STEAM,
15,NiviDzimka,ŠKODA Fabia RS Rally2,00:05:25.4190000,00:00:00,00:00:27.3410000,EA,
16,Wycka2007,ŠKODA Fabia RS Rally2,00:05:29.2140000,00:00:00,00:00:31.1360000,PSN,
17,vadishius,ŠKODA Fabia RS Rally2,00:06:05.9950000,00:00:15,00:01:07.9170000,STEAM,
18,gruduvinis,ŠKODA Fabia RS Rally2,00:06:37.1010000,00:00:00,00:01:39.0230000,STEAM,
19,citradex,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:01.9220000,STEAM,
