Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:08:41.0410000,00:00:00,00:00:00,PSN,
2,Pablitas555,Lancia Delta HF Integrale,00:08:41.1880000,00:00:00,00:00:00.1470000,PSN,
3,Justokas,SUBARU Legacy RS,00:08:50.4220000,00:00:00,00:00:09.3810000,STEAM,
4,PALiX00,Lancia Delta HF Integrale,00:08:58.7200000,00:00:00,00:00:17.6790000,STEAM,
5,ltukj72,SUBARU Impreza 1995,00:09:00.3910000,00:00:08,00:00:19.3500000,STEAM,
6,BartasLT,SUBARU Impreza 1995,00:09:39.4420000,00:00:00,00:00:58.4010000,XBOX,
7,-Aleliumbas-,Lancia Delta HF Integrale,00:09:47.3480000,00:00:00,00:01:06.3070000,STEAM,
8,citradex,SUBARU Impreza 1995,00:11:59.2940000,00:00:21,00:03:18.2530000,STEAM,
9,gruduvinis,Lancia Delta HF Integrale,00:13:00.7690000,00:00:26,00:04:19.7280000,STEAM,
