Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Lancia Delta HF Integrale,00:05:50.1740000,00:00:00,00:00:00,PSN,
2,DonKac11,Ford Escort RS Cosworth,00:05:51.2320000,00:00:00,00:00:01.0580000,PSN,
3,Justokas,SUBARU Legacy RS,00:05:58.3150000,00:00:00,00:00:08.1410000,STEAM,
4,PALiX00,Lancia Delta HF Integrale,00:06:01.6550000,00:00:00,00:00:11.4810000,STEAM,
5,-Aleliumbas-,Lancia Delta HF Integrale,00:06:22.4330000,00:00:00,00:00:32.2590000,STEAM,
6,BartasLT,SUBARU Impreza 1995,00:06:25.6140000,00:00:00,00:00:35.4400000,XBOX,
7,citradex,SUBARU Impreza 1995,00:07:26.5320000,00:00:05,00:01:36.3580000,STEAM,
8,gruduvinis,Lancia Delta HF Integrale,00:07:37.5720000,00:00:00,00:01:47.3980000,STEAM,
