Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,ltukj72,ŠKODA Fabia RS Rally2,00:05:22.2210000,00:00:00,00:00:00,STEAM,
2,3skimas,ŠKODA Fabia RS Rally2,00:05:22.9290000,00:00:00,00:00:00.7080000,STEAM,
3,DonKac11,ŠKODA Fabia RS Rally2,00:05:23.4180000,00:00:00,00:00:01.1970000,PSN,
4,Liekorius,ŠKODA Fabia RS Rally2,00:05:26.7340000,00:00:00,00:00:04.5130000,STEAM,
5,PALiX00,ŠKODA Fabia RS Rally2,00:05:29.7350000,00:00:00,00:00:07.5140000,STEAM,
6,Pablitas555,ŠKODA Fabia Rally2 Evo,00:05:30.3500000,00:00:00,00:00:08.1290000,PSN,
7,FearLesscze,ŠKODA Fabia RS Rally2,00:05:31.2100000,00:00:00,00:00:08.9890000,STEAM,
8,Balint2105,Hyundai i20 N Rally2,00:05:35.9120000,00:00:00,00:00:13.6910000,XBOX,
9,BartasLT,ŠKODA Fabia RS Rally2,00:05:36.3080000,00:00:00,00:00:14.0870000,XBOX,
10,RallyFanatikai,ŠKODA Fabia RS Rally2,00:05:36.4110000,00:00:00,00:00:14.1900000,STEAM,
11,ItalasLT,Ford Fiesta Rally2,00:05:38.3540000,00:00:00,00:00:16.1330000,STEAM,
12,-Aleliumbas-,ŠKODA Fabia RS Rally2,00:05:38.9120000,00:00:00,00:00:16.6910000,STEAM,
13,TerryMakichut,ŠKODA Fabia RS Rally2,00:05:39.6160000,00:00:00,00:00:17.3950000,STEAM,
14,vadishius,ŠKODA Fabia RS Rally2,00:05:40.0710000,00:00:00,00:00:17.8500000,STEAM,
15,The_Bad_X11,ŠKODA Fabia RS Rally2,00:05:43.2730000,00:00:00,00:00:21.0520000,XBOX,
16,Wycka2007,ŠKODA Fabia RS Rally2,00:05:43.3110000,00:00:00,00:00:21.0900000,PSN,
17,Justokas,Volkswagen Polo GTI R5,00:05:44.5090000,00:00:00,00:00:22.2880000,STEAM,
18,NiviDzimka,ŠKODA Fabia RS Rally2,00:05:45.9880000,00:00:00,00:00:23.7670000,EA,
19,gruduvinis,ŠKODA Fabia RS Rally2,00:06:26.0040000,00:00:00,00:01:03.7830000,STEAM,
20,citradex,ŠKODA Fabia RS Rally2,00:06:36.7360000,00:00:05,00:01:14.5150000,STEAM,
