Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:12:01.7110000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:12:22.5500000,00:00:05,00:00:20.8390000,PSN,
3,PALiX00,Lancia Delta HF Integrale,00:12:39.0300000,00:00:05,00:00:37.3190000,STEAM,
4,RallyFanatikai,Lancia Delta HF Integrale,00:12:42.5730000,00:00:20,00:00:40.8620000,STEAM,
5,Justokas,SUBARU Legacy RS,00:12:43.9740000,00:00:00,00:00:42.2630000,STEAM,
6,ltukj72,SUBARU Impreza 1995,00:12:45.8880000,00:00:10,00:00:44.1770000,STEAM,
7,justux132,Ford Escort RS Cosworth,00:12:51.8260000,00:00:06,00:00:50.1150000,STEAM,
8,ItalasLT,Lancia Delta HF Integrale,00:12:54.0370000,00:00:05,00:00:52.3260000,STEAM,
9,BartasLT,SUBARU Impreza 1995,00:13:13.7260000,00:00:05,00:01:12.0150000,XBOX,
10,-Aleliumbas-,SUBARU Impreza 1995,00:13:32.0400000,00:00:05,00:01:30.3290000,STEAM,
11,laapiuks,Lancia Delta HF Integrale,00:13:59.7950000,00:00:30,00:01:58.0840000,EA,
12,citradex,SUBARU Impreza 1995,00:16:11.3410000,00:00:50,00:04:09.6300000,STEAM,
