Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,ŠKODA Fabia RS Rally2,00:02:23.3000000,00:00:00,00:00:00,PSN,
2,RallyFanatikai,ŠKODA Fabia RS Rally2,00:02:26.9490000,00:00:00,00:00:03.6490000,STEAM,
3,Pablitas555,ŠKODA Fabia RS Rally2,00:02:27.3520000,00:00:00,00:00:04.0520000,PSN,
4,ltukj72,ŠKODA Fabia RS Rally2,00:02:30.9030000,00:00:00,00:00:07.6030000,STEAM,
5,BartasLT,ŠKODA Fabia RS Rally2,00:02:31.7200000,00:00:00,00:00:08.4200000,XBOX,
6,VoidRob0t,Hyundai i20 N Rally2,00:02:32.9890000,00:00:00,00:00:09.6890000,STEAM,
7,MartynasLy,ŠKODA Fabia RS Rally2,00:02:33.1830000,00:00:00,00:00:09.8830000,XBOX,
8,DonKac11,ŠKODA Fabia RS Rally2,00:02:34.1260000,00:00:00,00:00:10.8260000,PSN,
9,-Aleliumbas-,Ford Fiesta Rally2,00:02:38.8060000,00:00:00,00:00:15.5060000,STEAM,
10,NiviDzimka,ŠKODA Fabia Rally2 Evo,00:02:40.7280000,00:00:00,00:00:17.4280000,EA,
11,ItalasLT,Volkswagen Polo GTI R5,00:02:41.6190000,00:00:00,00:00:18.3190000,STEAM,
12,Wycka2007,ŠKODA Fabia RS Rally2,00:02:41.6470000,00:00:00,00:00:18.3470000,PSN,
13,Justokas,Volkswagen Polo GTI R5,00:02:42.0960000,00:00:00,00:00:18.7960000,STEAM,
14,TerryMakichut,ŠKODA Fabia RS Rally2,00:02:43.9640000,00:00:05,00:00:20.6640000,STEAM,
15,JojoHopkins07,Hyundai i20 N Rally2,00:02:44.6740000,00:00:00,00:00:21.3740000,PSN,
16,laapiuks,ŠKODA Fabia RS Rally2,00:02:44.9280000,00:00:00,00:00:21.6280000,EA,
17,PALiX00,WRC2 Builder Vehicle,00:02:44.9390000,00:00:05,00:00:21.6390000,STEAM,
18,3skimas,ŠKODA Fabia RS Rally2,00:02:46.2680000,00:00:00,00:00:22.9680000,STEAM,
19,Liekorius,ŠKODA Fabia RS Rally2,00:02:46.3920000,00:00:00,00:00:23.0920000,STEAM,
20,ADAs011,ŠKODA Fabia RS Rally2,00:02:47.2310000,00:00:00,00:00:23.9310000,PSN,
21,vadishius,Ford Fiesta Rally2,00:02:48.1240000,00:00:00,00:00:24.8240000,STEAM,
22,Ged256,Ford Fiesta Rally2,00:02:49.7700000,00:00:00,00:00:26.4700000,STEAM,
23,Rytisklim,ŠKODA Fabia Rally2 Evo,00:02:52.7570000,00:00:00,00:00:29.4570000,STEAM,
24,gruduvinis,ŠKODA Fabia RS Rally2,00:03:12.0460000,00:00:00,00:00:48.7460000,STEAM,
25,citradex,Hyundai i20 N Rally2,00:08:00,00:08:00,00:05:36.7000000,STEAM,
26,14157o,ŠKODA Fabia RS Rally2,00:08:00,00:08:00,00:05:36.7000000,XBOX,
