Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,ŠKODA Fabia RS Rally2,00:10:58.6430000,00:00:00,00:00:00,PSN,
2,DonKac11,ŠKODA Fabia RS Rally2,00:11:02.0690000,00:00:05,00:00:03.4260000,PSN,
3,AlfaaLTU,ŠKODA Fabia RS Rally2,00:11:18.7220000,00:00:00,00:00:20.0790000,PSN,
4,VoidRob0t,Hyundai i20 N Rally2,00:11:27.5850000,00:00:00,00:00:28.9420000,STEAM,
5,RallyFanatikai,ŠKODA Fabia RS Rally2,00:11:29.9760000,00:00:00,00:00:31.3330000,STEAM,
6,Liekorius,ŠKODA Fabia RS Rally2,00:11:31.5880000,00:00:00,00:00:32.9450000,STEAM,
7,TerryMakichut,ŠKODA Fabia RS Rally2,00:11:32.0340000,00:00:00,00:00:33.3910000,STEAM,
8,BartasLT,ŠKODA Fabia RS Rally2,00:11:37.8480000,00:00:00,00:00:39.2050000,XBOX,
9,vadishius,Ford Fiesta Rally2,00:11:42.1890000,00:00:00,00:00:43.5460000,STEAM,
10,ltukj72,ŠKODA Fabia RS Rally2,00:11:44.6880000,00:00:05,00:00:46.0450000,STEAM,
11,PALiX00,WRC2 Builder Vehicle,00:11:45.3900000,00:00:00,00:00:46.7470000,STEAM,
12,MartynasLy,ŠKODA Fabia RS Rally2,00:11:49.3870000,00:00:00,00:00:50.7440000,XBOX,
13,NiviDzimka,ŠKODA Fabia Rally2 Evo,00:11:52.7870000,00:00:05,00:00:54.1440000,EA,
14,-Aleliumbas-,Ford Fiesta Rally2,00:12:00.2450000,00:00:00,00:01:01.6020000,STEAM,
15,Wycka2007,ŠKODA Fabia RS Rally2,00:12:11.2400000,00:00:00,00:01:12.5970000,PSN,
16,Ged256,Ford Fiesta Rally2,00:12:25.9710000,00:00:00,00:01:27.3280000,STEAM,
17,JojoHopkins07,Hyundai i20 N Rally2,00:12:28.0240000,00:00:00,00:01:29.3810000,PSN,
18,Justokas,Volkswagen Polo GTI R5,00:12:34.9610000,00:00:00,00:01:36.3180000,STEAM,
19,ADAs011,ŠKODA Fabia RS Rally2,00:12:38.5540000,00:00:00,00:01:39.9110000,PSN,
20,Rytisklim,ŠKODA Fabia Rally2 Evo,00:12:44.8870000,00:00:00,00:01:46.2440000,STEAM,
21,3skimas,ŠKODA Fabia RS Rally2,00:13:03.7480000,00:01:30,00:02:05.1050000,STEAM,
22,laapiuks,ŠKODA Fabia RS Rally2,00:13:26.7310000,00:00:30,00:02:28.0880000,EA,
23,ItalasLT,Volkswagen Polo GTI R5,00:13:27.7940000,00:01:30,00:02:29.1510000,STEAM,
24,citradex,Hyundai i20 N Rally2,00:14:14.1110000,00:00:00,00:03:15.4680000,STEAM,
25,gruduvinis,ŠKODA Fabia RS Rally2,00:14:14.4270000,00:00:00,00:03:15.7840000,STEAM,
26,14157o,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:14:01.3570000,XBOX,
