Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:06:08.3130000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:06:14.0810000,00:00:00,00:00:05.7680000,PSN,
3,ltukj72,SUBARU Impreza 1995,00:06:16.1190000,00:00:00,00:00:07.8060000,STEAM,
4,ItalasLT,Lancia Delta HF Integrale,00:06:23.5900000,00:00:00,00:00:15.2770000,STEAM,
5,PALiX00,Lancia Delta HF Integrale,00:06:25.3050000,00:00:00,00:00:16.9920000,STEAM,
6,RallyFanatikai,Lancia Delta HF Integrale,00:06:26.7780000,00:00:05,00:00:18.4650000,STEAM,
7,laapiuks,Lancia Delta HF Integrale,00:06:27.9150000,00:00:00,00:00:19.6020000,EA,
8,Justokas,SUBARU Legacy RS,00:06:31.7950000,00:00:00,00:00:23.4820000,STEAM,
9,vadishius,SUBARU Impreza 1995,00:06:33.9770000,00:00:00,00:00:25.6640000,STEAM,
10,BartasLT,SUBARU Impreza 1995,00:06:44.4310000,00:00:00,00:00:36.1180000,XBOX,
11,-Aleliumbas-,SUBARU Impreza 1995,00:08:14.3520000,00:01:30,00:02:06.0390000,STEAM,
12,citradex,SUBARU Impreza 1995,00:16:00,00:16:00,00:09:51.6870000,STEAM,
