Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:05:43.2500000,00:00:00,00:00:00,PSN,
2,PALiX00,Lancia Delta HF Integrale,00:06:02.0750000,00:00:00,00:00:18.8250000,STEAM,
3,Justokas,SUBARU Legacy RS,00:06:13.4410000,00:00:00,00:00:30.1910000,STEAM,
4,ItalasLT,Lancia Delta HF Integrale,00:06:13.6110000,00:00:00,00:00:30.3610000,STEAM,
5,BartasLT,SUBARU Impreza 1995,00:06:31.1670000,00:00:05,00:00:47.9170000,XBOX,
6,vadishius,SUBARU Impreza 1995,00:06:32.2850000,00:00:05,00:00:49.0350000,STEAM,
7,ltukj72,SUBARU Impreza 1995,00:06:37.0440000,00:00:29,00:00:53.7940000,STEAM,
8,RallyFanatikai,Lancia Delta HF Integrale,00:06:43.6990000,00:00:00,00:01:00.4490000,STEAM,
9,Pablitas555,Ford Escort RS Cosworth,00:06:47.7180000,00:00:35,00:01:04.4680000,PSN,
10,-Aleliumbas-,SUBARU Impreza 1995,00:07:16.2740000,00:00:10,00:01:33.0240000,STEAM,
11,citradex,SUBARU Impreza 1995,00:16:00,00:16:00,00:10:16.7500000,STEAM,
