Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,ŠKODA Fabia RS Rally2,00:05:34.6930000,00:00:00,00:00:00,PSN,
2,DonKac11,ŠKODA Fabia RS Rally2,00:05:36.1090000,00:00:00,00:00:01.4160000,PSN,
3,Pablitas555,ŠKODA Fabia RS Rally2,00:05:46.4230000,00:00:00,00:00:11.7300000,PSN,
4,NiviDzimka,ŠKODA Fabia Rally2 Evo,00:05:46.4790000,00:00:00,00:00:11.7860000,EA,
5,Wycka2007,ŠKODA Fabia RS Rally2,00:05:48.3280000,00:00:00,00:00:13.6350000,PSN,
6,ltukj72,ŠKODA Fabia RS Rally2,00:05:49.3080000,00:00:00,00:00:14.6150000,STEAM,
7,MartynasLy,ŠKODA Fabia RS Rally2,00:05:49.9380000,00:00:00,00:00:15.2450000,XBOX,
8,BartasLT,ŠKODA Fabia RS Rally2,00:05:50.6770000,00:00:00,00:00:15.9840000,XBOX,
9,3skimas,ŠKODA Fabia RS Rally2,00:05:53.1420000,00:00:00,00:00:18.4490000,STEAM,
10,RallyFanatikai,ŠKODA Fabia RS Rally2,00:05:53.2530000,00:00:00,00:00:18.5600000,STEAM,
11,PALiX00,WRC2 Builder Vehicle,00:05:53.4730000,00:00:00,00:00:18.7800000,STEAM,
12,Liekorius,ŠKODA Fabia RS Rally2,00:05:54.4590000,00:00:00,00:00:19.7660000,STEAM,
13,justux132,Ford Fiesta Rally2,00:05:55.8900000,00:00:00,00:00:21.1970000,STEAM,
14,vadishius,Ford Fiesta Rally2,00:05:59.3280000,00:00:00,00:00:24.6350000,STEAM,
15,TerryMakichut,ŠKODA Fabia RS Rally2,00:06:01.6740000,00:00:00,00:00:26.9810000,STEAM,
16,The_Bad_X11,ŠKODA Fabia RS Rally2,00:06:03.5490000,00:00:05,00:00:28.8560000,XBOX,
17,ItalasLT,Volkswagen Polo GTI R5,00:06:06.1130000,00:00:00,00:00:31.4200000,STEAM,
18,VoidRob0t,Hyundai i20 N Rally2,00:06:09.2490000,00:00:05,00:00:34.5560000,STEAM,
19,-Aleliumbas-,Ford Fiesta Rally2,00:06:10.9060000,00:00:00,00:00:36.2130000,STEAM,
20,Justokas,Volkswagen Polo GTI R5,00:06:12.8700000,00:00:10,00:00:38.1770000,STEAM,
21,JojoHopkins07,Hyundai i20 N Rally2,00:06:13.3650000,00:00:00,00:00:38.6720000,PSN,
22,Rytisklim,ŠKODA Fabia Rally2 Evo,00:06:17.8390000,00:00:00,00:00:43.1460000,STEAM,
23,ADAs011,ŠKODA Fabia RS Rally2,00:06:21.9910000,00:00:00,00:00:47.2980000,PSN,
24,laapiuks,ŠKODA Fabia RS Rally2,00:06:26.8520000,00:00:00,00:00:52.1590000,EA,
25,Ged256,Ford Fiesta Rally2,00:06:37.9780000,00:00:00,00:01:03.2850000,STEAM,
26,citradex,Hyundai i20 N Rally2,00:07:08.4430000,00:00:05,00:01:33.7500000,STEAM,
27,gruduvinis,ŠKODA Fabia RS Rally2,00:07:19.8420000,00:00:00,00:01:45.1490000,STEAM,
28,14157o,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:25.3070000,XBOX,
