Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:04:55.5480000,00:00:05,00:00:00,PSN,
2,ItalasLT,Lancia Delta HF Integrale,00:04:56.5400000,00:00:00,00:00:00.9920000,STEAM,
3,Pablitas555,Ford Escort RS Cosworth,00:04:58.6180000,00:00:00,00:00:03.0700000,PSN,
4,ltukj72,SUBARU Impreza 1995,00:05:07.3770000,00:00:00,00:00:11.8290000,STEAM,
5,Justokas,SUBARU Legacy RS,00:05:07.4530000,00:00:00,00:00:11.9050000,STEAM,
6,laapiuks,Lancia Delta HF Integrale,00:05:12.4810000,00:00:05,00:00:16.9330000,EA,
7,PALiX00,Lancia Delta HF Integrale,00:05:17.4120000,00:00:05,00:00:21.8640000,STEAM,
8,vadishius,SUBARU Impreza 1995,00:05:21.7400000,00:00:05,00:00:26.1920000,STEAM,
9,BartasLT,SUBARU Impreza 1995,00:05:31.6600000,00:00:11,00:00:36.1120000,XBOX,
10,-Aleliumbas-,SUBARU Impreza 1995,00:05:35.0060000,00:00:00,00:00:39.4580000,STEAM,
11,RallyFanatikai,Lancia Delta HF Integrale,00:05:38.1760000,00:00:11,00:00:42.6280000,STEAM,
12,citradex,SUBARU Impreza 1995,00:16:00,00:16:00,00:11:04.4520000,STEAM,
