Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Ford Escort RS Cosworth,00:04:47.2630000,00:00:00,00:00:00,PSN,
2,ltukj72,SUBARU Impreza 1995,00:04:50.9880000,00:00:00,00:00:03.7250000,STEAM,
3,DonKac11,Ford Escort RS Cosworth,00:04:51.6120000,00:00:00,00:00:04.3490000,PSN,
4,ItalasLT,Lancia Delta HF Integrale,00:04:51.7970000,00:00:00,00:00:04.5340000,STEAM,
5,Justokas,SUBARU Legacy RS,00:04:52.3200000,00:00:00,00:00:05.0570000,STEAM,
6,PALiX00,Lancia Delta HF Integrale,00:04:57.5350000,00:00:00,00:00:10.2720000,STEAM,
7,vadishius,SUBARU Impreza 1995,00:04:58.4840000,00:00:00,00:00:11.2210000,STEAM,
8,laapiuks,Lancia Delta HF Integrale,00:05:00.8100000,00:00:00,00:00:13.5470000,EA,
9,RallyFanatikai,Lancia Delta HF Integrale,00:05:03.9210000,00:00:00,00:00:16.6580000,STEAM,
10,BartasLT,SUBARU Impreza 1995,00:05:16.4370000,00:00:05,00:00:29.1740000,XBOX,
11,-Aleliumbas-,SUBARU Impreza 1995,00:05:33.6300000,00:00:00,00:00:46.3670000,STEAM,
12,citradex,SUBARU Impreza 1995,00:16:00,00:16:00,00:11:12.7370000,STEAM,
