Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,ŠKODA Fabia RS Rally2,00:03:11.5210000,00:00:00,00:00:00,PSN,
2,VoidRob0t,Hyundai i20 N Rally2,00:03:14.3440000,00:00:00,00:00:02.8230000,STEAM,
3,DonKac11,ŠKODA Fabia RS Rally2,00:03:14.6210000,00:00:00,00:00:03.1000000,PSN,
4,RallyFanatikai,ŠKODA Fabia RS Rally2,00:03:14.6670000,00:00:00,00:00:03.1460000,STEAM,
5,ltukj72,ŠKODA Fabia RS Rally2,00:03:15.3440000,00:00:00,00:00:03.8230000,STEAM,
6,Pablitas555,ŠKODA Fabia RS Rally2,00:03:15.9510000,00:00:00,00:00:04.4300000,PSN,
7,PALiX00,WRC2 Builder Vehicle,00:03:16.1470000,00:00:00,00:00:04.6260000,STEAM,
8,MartynasLy,ŠKODA Fabia RS Rally2,00:03:19.0730000,00:00:00,00:00:07.5520000,XBOX,
9,Liekorius,ŠKODA Fabia RS Rally2,00:03:19.5400000,00:00:00,00:00:08.0190000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:03:20.3410000,00:00:00,00:00:08.8200000,XBOX,
11,NiviDzimka,ŠKODA Fabia Rally2 Evo,00:03:21.5600000,00:00:00,00:00:10.0390000,EA,
12,vadishius,Ford Fiesta Rally2,00:03:21.7030000,00:00:00,00:00:10.1820000,STEAM,
13,3skimas,ŠKODA Fabia RS Rally2,00:03:23.0890000,00:00:00,00:00:11.5680000,STEAM,
14,TerryMakichut,ŠKODA Fabia RS Rally2,00:03:23.1660000,00:00:00,00:00:11.6450000,STEAM,
15,Wycka2007,ŠKODA Fabia RS Rally2,00:03:27.3420000,00:00:00,00:00:15.8210000,PSN,
16,laapiuks,ŠKODA Fabia RS Rally2,00:03:27.8430000,00:00:00,00:00:16.3220000,EA,
17,Ged256,Ford Fiesta Rally2,00:03:30.6810000,00:00:00,00:00:19.1600000,STEAM,
18,Justokas,Volkswagen Polo GTI R5,00:03:34.6580000,00:00:00,00:00:23.1370000,STEAM,
19,ItalasLT,Volkswagen Polo GTI R5,00:03:35.1040000,00:00:00,00:00:23.5830000,STEAM,
20,JojoHopkins07,Hyundai i20 N Rally2,00:03:36.7680000,00:00:00,00:00:25.2470000,PSN,
21,ADAs011,ŠKODA Fabia RS Rally2,00:03:41.6490000,00:00:00,00:00:30.1280000,PSN,
22,Rytisklim,ŠKODA Fabia Rally2 Evo,00:03:46.3160000,00:00:00,00:00:34.7950000,STEAM,
23,-Aleliumbas-,Ford Fiesta Rally2,00:03:56.3620000,00:00:08,00:00:44.8410000,STEAM,
24,gruduvinis,ŠKODA Fabia RS Rally2,00:03:57.7340000,00:00:00,00:00:46.2130000,STEAM,
25,citradex,Hyundai i20 N Rally2,00:08:00,00:08:00,00:04:48.4790000,STEAM,
26,14157o,ŠKODA Fabia RS Rally2,00:08:00,00:08:00,00:04:48.4790000,XBOX,
