Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:03:23.8790000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:03:23.9010000,00:00:00,00:00:00.0220000,PSN,
3,VoidRob0t,Toyota GR Yaris Rally2,00:03:26.7580000,00:00:00,00:00:02.8790000,STEAM,
4,Pablitas555,Toyota GR Yaris Rally2,00:03:27.4940000,00:00:00,00:00:03.6150000,PSN,
5,LtuDK,WRC2 Builder Vehicle,00:03:27.9120000,00:00:00,00:00:04.0330000,STEAM,
6,Liekorius,Toyota GR Yaris Rally2,00:03:33.0590000,00:00:00,00:00:09.1800000,STEAM,
7,PALiX00,ŠKODA Fabia RS Rally2,00:03:33.4400000,00:00:00,00:00:09.5610000,STEAM,
8,ItalasLT,Citroën C3 Rally2,00:03:34.8080000,00:00:00,00:00:10.9290000,STEAM,
9,-Aleliumbas-,Hyundai i20 N Rally2,00:03:37.5050000,00:00:00,00:00:13.6260000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:03:37.5180000,00:00:00,00:00:13.6390000,XBOX,
11,vadishius,Toyota GR Yaris Rally2,00:03:38.5000000,00:00:00,00:00:14.6210000,STEAM,
12,RallyFanatikai,Toyota GR Yaris Rally2,00:03:38.6200000,00:00:00,00:00:14.7410000,STEAM,
13,Wycka2007,Toyota GR Yaris Rally2,00:03:44.3130000,00:00:00,00:00:20.4340000,PSN,
14,Justokas,Volkswagen Polo GTI R5,00:03:45.3640000,00:00:00,00:00:21.4850000,STEAM,
15,z3pis,WRC2 Builder Vehicle,00:03:49.9180000,00:00:00,00:00:26.0390000,STEAM,
16,TerryMakichut,ŠKODA Fabia RS Rally2,00:03:52.5650000,00:00:11,00:00:28.6860000,STEAM,
17,gruduvinis,Ford Fiesta Rally2,00:04:01.7020000,00:00:00,00:00:37.8230000,STEAM,
18,laapiuks,ŠKODA Fabia RS Rally2,00:04:19.1320000,00:00:26,00:00:55.2530000,EA,
19,EvilMe93,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:12:36.1210000,STEAM,
20,citradex,Hyundai i20 N Rally2,00:16:00,00:16:00,00:12:36.1210000,STEAM,
