Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:07:55.3680000,00:00:00,00:00:00,STEAM,
2,Pablitas555,Toyota GR Yaris Rally2,00:08:01.7320000,00:00:00,00:00:06.3640000,PSN,
3,DonKac11,Toyota GR Yaris Rally2,00:08:05.3710000,00:00:00,00:00:10.0030000,PSN,
4,Liekorius,Toyota GR Yaris Rally2,00:08:09.0660000,00:00:00,00:00:13.6980000,STEAM,
5,PALiX00,ŠKODA Fabia RS Rally2,00:08:10.9500000,00:00:00,00:00:15.5820000,STEAM,
6,BartasLT,ŠKODA Fabia RS Rally2,00:08:11.3380000,00:00:00,00:00:15.9700000,XBOX,
7,LtuDK,WRC2 Builder Vehicle,00:08:13.9710000,00:00:00,00:00:18.6030000,STEAM,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:08:14.7610000,00:00:00,00:00:19.3930000,STEAM,
9,TerryMakichut,ŠKODA Fabia RS Rally2,00:08:17.4580000,00:00:00,00:00:22.0900000,STEAM,
10,ItalasLT,Citroën C3 Rally2,00:08:18.0650000,00:00:00,00:00:22.6970000,STEAM,
11,vadishius,Toyota GR Yaris Rally2,00:08:19.9710000,00:00:00,00:00:24.6030000,STEAM,
12,-Aleliumbas-,Hyundai i20 N Rally2,00:08:26.6490000,00:00:00,00:00:31.2810000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:08:34.3740000,00:00:00,00:00:39.0060000,STEAM,
14,Wycka2007,Toyota GR Yaris Rally2,00:08:39.8660000,00:00:00,00:00:44.4980000,PSN,
15,laapiuks,ŠKODA Fabia RS Rally2,00:08:47.8440000,00:00:00,00:00:52.4760000,EA,
16,z3pis,WRC2 Builder Vehicle,00:09:22.7560000,00:00:05,00:01:27.3880000,STEAM,
17,gruduvinis,Ford Fiesta Rally2,00:09:41.2920000,00:00:00,00:01:45.9240000,STEAM,
18,EvilMe93,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:08:04.6320000,STEAM,
19,citradex,Hyundai i20 N Rally2,00:16:00,00:16:00,00:08:04.6320000,STEAM,
