Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:04:30.1630000,00:00:00,00:00:00,STEAM,
2,Pablitas555,Toyota GR Yaris Rally2,00:04:30.9830000,00:00:00,00:00:00.8200000,PSN,
3,LtuDK,WRC2 Builder Vehicle,00:04:40.3850000,00:00:00,00:00:10.2220000,STEAM,
4,DonKac11,Toyota GR Yaris Rally2,00:04:41.8730000,00:00:00,00:00:11.7100000,PSN,
5,vadishius,Toyota GR Yaris Rally2,00:04:43.6840000,00:00:00,00:00:13.5210000,STEAM,
6,ItalasLT,Citroën C3 Rally2,00:04:47.0580000,00:00:00,00:00:16.8950000,STEAM,
7,Liekorius,Toyota GR Yaris Rally2,00:04:48.6800000,00:00:00,00:00:18.5170000,STEAM,
8,Justokas,Volkswagen Polo GTI R5,00:04:50.6050000,00:00:00,00:00:20.4420000,STEAM,
9,-Aleliumbas-,Hyundai i20 N Rally2,00:04:50.7080000,00:00:00,00:00:20.5450000,STEAM,
10,RallyFanatikai,Toyota GR Yaris Rally2,00:04:54.4900000,00:00:00,00:00:24.3270000,STEAM,
11,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:55.6140000,00:00:05,00:00:25.4510000,STEAM,
12,PALiX00,ŠKODA Fabia RS Rally2,00:05:02.6100000,00:00:05,00:00:32.4470000,STEAM,
13,BartasLT,ŠKODA Fabia RS Rally2,00:05:03.1260000,00:00:00,00:00:32.9630000,XBOX,
14,laapiuks,ŠKODA Fabia RS Rally2,00:05:28.1870000,00:00:00,00:00:58.0240000,EA,
15,citradex,Hyundai i20 N Rally2,00:05:35.1610000,00:00:00,00:01:04.9980000,STEAM,
16,z3pis,WRC2 Builder Vehicle,00:06:18.9720000,00:00:30,00:01:48.8090000,STEAM,
17,Wycka2007,Toyota GR Yaris Rally2,00:06:20.8830000,00:00:30,00:01:50.7200000,PSN,
18,gruduvinis,Ford Fiesta Rally2,00:16:00,00:16:00,00:11:29.8370000,STEAM,
