Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:08:23.2170000,00:00:00,00:00:00,STEAM,
2,LtuDK,WRC2 Builder Vehicle,00:08:29.9750000,00:00:05,00:00:06.7580000,STEAM,
3,Pablitas555,Toyota GR Yaris Rally2,00:08:34.3850000,00:00:00,00:00:11.1680000,PSN,
4,DonKac11,Toyota GR Yaris Rally2,00:08:40.6550000,00:00:00,00:00:17.4380000,PSN,
5,TerryMakichut,ŠKODA Fabia RS Rally2,00:08:54.4550000,00:00:00,00:00:31.2380000,STEAM,
6,Liekorius,Toyota GR Yaris Rally2,00:09:02.0170000,00:00:00,00:00:38.8000000,STEAM,
7,Wycka2007,Toyota GR Yaris Rally2,00:09:11.2260000,00:00:09,00:00:48.0090000,PSN,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:09:11.7380000,00:00:09,00:00:48.5210000,STEAM,
9,ItalasLT,Citroën C3 Rally2,00:09:13.0110000,00:00:00,00:00:49.7940000,STEAM,
10,VoidRob0t,Toyota GR Yaris Rally2,00:09:13.9760000,00:00:21,00:00:50.7590000,STEAM,
11,BartasLT,ŠKODA Fabia RS Rally2,00:09:15.9240000,00:00:00,00:00:52.7070000,XBOX,
12,Justokas,Volkswagen Polo GTI R5,00:09:19.8520000,00:00:00,00:00:56.6350000,STEAM,
13,-Aleliumbas-,Hyundai i20 N Rally2,00:09:41.5940000,00:00:16,00:01:18.3770000,STEAM,
14,PALiX00,ŠKODA Fabia RS Rally2,00:10:26.8900000,00:01:30,00:02:03.6730000,STEAM,
15,vadishius,Toyota GR Yaris Rally2,00:11:06.7930000,00:01:57,00:02:43.5760000,STEAM,
16,gruduvinis,Ford Fiesta Rally2,00:12:56.0230000,00:00:15,00:04:32.8060000,STEAM,
17,EvilMe93,Toyota GR Yaris Rally2,00:25:00,00:25:00,00:16:36.7830000,STEAM,
18,laapiuks,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:36.7830000,EA,
19,justux132,Ford Fiesta Rally2,00:25:00,00:25:00,00:16:36.7830000,STEAM,
20,citradex,Hyundai i20 N Rally2,00:25:00,00:25:00,00:16:36.7830000,STEAM,
