Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,LtuDK,WRC2 Builder Vehicle,00:03:53.2990000,00:00:00,00:00:00,STEAM,
2,Rebl11,ŠKODA Fabia RS Rally2,00:03:55.5690000,00:00:00,00:00:02.2700000,STEAM,
3,DonKac11,Toyota GR Yaris Rally2,00:04:00.0820000,00:00:00,00:00:06.7830000,PSN,
4,Pablitas555,Toyota GR Yaris Rally2,00:04:02.8590000,00:00:00,00:00:09.5600000,PSN,
5,Liekorius,Toyota GR Yaris Rally2,00:04:03.1510000,00:00:00,00:00:09.8520000,STEAM,
6,BartasLT,ŠKODA Fabia RS Rally2,00:04:08.1290000,00:00:00,00:00:14.8300000,XBOX,
7,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:11.0270000,00:00:00,00:00:17.7280000,STEAM,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:04:11.2700000,00:00:00,00:00:17.9710000,STEAM,
9,vadishius,Toyota GR Yaris Rally2,00:04:12.6740000,00:00:00,00:00:19.3750000,STEAM,
10,Justokas,Volkswagen Polo GTI R5,00:04:16.0170000,00:00:00,00:00:22.7180000,STEAM,
11,ItalasLT,Citroën C3 Rally2,00:04:16.2240000,00:00:00,00:00:22.9250000,STEAM,
12,-Aleliumbas-,Hyundai i20 N Rally2,00:04:20.6850000,00:00:00,00:00:27.3860000,STEAM,
13,Wycka2007,Toyota GR Yaris Rally2,00:04:29.6990000,00:00:00,00:00:36.4000000,PSN,
14,PALiX00,ŠKODA Fabia RS Rally2,00:04:31.7450000,00:00:00,00:00:38.4460000,STEAM,
15,laapiuks,ŠKODA Fabia RS Rally2,00:04:51.4650000,00:00:19,00:00:58.1660000,EA,
16,gruduvinis,Ford Fiesta Rally2,00:04:54.3050000,00:00:00,00:01:01.0060000,STEAM,
17,z3pis,WRC2 Builder Vehicle,00:05:01.3530000,00:00:05,00:01:08.0540000,STEAM,
18,citradex,Hyundai i20 N Rally2,00:05:10.7510000,00:00:08,00:01:17.4520000,STEAM,
19,VoidRob0t,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:12:06.7010000,STEAM,
