Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Toyota GR Yaris Rally2,00:08:13.6120000,00:00:00,00:00:00,PSN,
2,AlfaaLTU,Hyundai i20 N Rally2,00:08:13.9680000,00:00:00,00:00:00.3560000,PSN,
3,Pablitas555,Toyota GR Yaris Rally2,00:08:18.6050000,00:00:00,00:00:04.9930000,PSN,
4,Rebl11,Toyota GR Yaris Rally2,00:08:21.4730000,00:00:00,00:00:07.8610000,STEAM,
5,RallyFanatikai,Toyota GR Yaris Rally2,00:08:29.3060000,00:00:00,00:00:15.6940000,STEAM,
6,LtuDK,WRC2 Builder Vehicle,00:08:30.7070000,00:00:00,00:00:17.0950000,STEAM,
7,Liekorius,Toyota GR Yaris Rally2,00:08:32.4020000,00:00:00,00:00:18.7900000,STEAM,
8,PALiX00,ŠKODA Fabia RS Rally2,00:08:35.7870000,00:00:00,00:00:22.1750000,STEAM,
9,ItalasLT,Ford Fiesta Rally2,00:08:39.1890000,00:00:00,00:00:25.5770000,STEAM,
10,NiviDzimka,Toyota GR Yaris Rally2,00:08:42.3660000,00:00:00,00:00:28.7540000,EA,
11,BartasLT,ŠKODA Fabia RS Rally2,00:08:44.4560000,00:00:00,00:00:30.8440000,XBOX,
12,justux132,Ford Fiesta Rally2,00:08:49.0410000,00:00:00,00:00:35.4290000,STEAM,
13,-Aleliumbas-,Hyundai i20 N Rally2,00:08:50.0690000,00:00:00,00:00:36.4570000,STEAM,
14,MartynasLy,Toyota GR Yaris Rally2,00:08:54.7570000,00:00:00,00:00:41.1450000,XBOX,
15,Justokas,Volkswagen Polo GTI R5,00:08:58.8380000,00:00:00,00:00:45.2260000,STEAM,
16,z3pis,ŠKODA Fabia Rally2 Evo,00:08:58.9290000,00:00:00,00:00:45.3170000,STEAM,
17,TerryMakichut,ŠKODA Fabia RS Rally2,00:09:01.5180000,00:00:17,00:00:47.9060000,STEAM,
18,GOBOO23,ŠKODA Fabia RS Rally2,00:09:03.7730000,00:00:06,00:00:50.1610000,STEAM,
19,Wycka2007,Toyota GR Yaris Rally2,00:09:07.6290000,00:00:00,00:00:54.0170000,PSN,
20,ltukj72,ŠKODA Fabia RS Rally2,00:09:24.9640000,00:00:42,00:01:11.3520000,STEAM,
21,Ged256,Ford Fiesta Rally2,00:09:25.2500000,00:00:00,00:01:11.6380000,STEAM,
22,Rytisklim,Ford Fiesta Rally2,00:09:40.1190000,00:00:00,00:01:26.5070000,STEAM,
23,ImN0Tskiller,Toyota GR Yaris Rally2,00:09:46.7350000,00:00:27,00:01:33.1230000,STEAM,
24,citradex,ŠKODA Fabia RS Rally2,00:10:28.1560000,00:00:00,00:02:14.5440000,STEAM,
25,gruduvinis,Hyundai i20 N Rally2,00:10:43.8760000,00:00:00,00:02:30.2640000,STEAM,
