Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,Hyundai i20 N Rally2,00:04:40.6000000,00:00:00,00:00:00,PSN,
2,Rebl11,Toyota GR Yaris Rally2,00:04:42.6990000,00:00:00,00:00:02.0990000,STEAM,
3,DonKac11,Toyota GR Yaris Rally2,00:04:44.7100000,00:00:00,00:00:04.1100000,PSN,
4,Pablitas555,Toyota GR Yaris Rally2,00:04:46.9480000,00:00:00,00:00:06.3480000,PSN,
5,LtuDK,WRC2 Builder Vehicle,00:04:49.9710000,00:00:00,00:00:09.3710000,STEAM,
6,PALiX00,ŠKODA Fabia RS Rally2,00:04:52.0650000,00:00:00,00:00:11.4650000,STEAM,
7,NiviDzimka,Toyota GR Yaris Rally2,00:04:53.9110000,00:00:00,00:00:13.3110000,EA,
8,Liekorius,Toyota GR Yaris Rally2,00:04:54.0550000,00:00:00,00:00:13.4550000,STEAM,
9,ItalasLT,Ford Fiesta Rally2,00:04:55.8540000,00:00:00,00:00:15.2540000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:04:55.9690000,00:00:00,00:00:15.3690000,XBOX,
11,RallyFanatikai,Toyota GR Yaris Rally2,00:04:56.3350000,00:00:10,00:00:15.7350000,STEAM,
12,-Aleliumbas-,Hyundai i20 N Rally2,00:04:56.7620000,00:00:00,00:00:16.1620000,STEAM,
13,MartynasLy,Toyota GR Yaris Rally2,00:04:58.7850000,00:00:00,00:00:18.1850000,XBOX,
14,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:58.8020000,00:00:00,00:00:18.2020000,STEAM,
15,justux132,Ford Fiesta Rally2,00:04:59.0450000,00:00:00,00:00:18.4450000,STEAM,
16,GOBOO23,ŠKODA Fabia RS Rally2,00:05:02.4000000,00:00:00,00:00:21.8000000,STEAM,
17,Justokas,Volkswagen Polo GTI R5,00:05:05.7700000,00:00:00,00:00:25.1700000,STEAM,
18,z3pis,ŠKODA Fabia Rally2 Evo,00:05:07.1660000,00:00:00,00:00:26.5660000,STEAM,
19,Rytisklim,Ford Fiesta Rally2,00:05:19.2130000,00:00:00,00:00:38.6130000,STEAM,
20,Wycka2007,Toyota GR Yaris Rally2,00:05:21.0190000,00:00:00,00:00:40.4190000,PSN,
21,Ged256,Ford Fiesta Rally2,00:05:30.7150000,00:00:00,00:00:50.1150000,STEAM,
22,gruduvinis,Hyundai i20 N Rally2,00:05:59.8070000,00:00:00,00:01:19.2070000,STEAM,
