Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Toyota GR Yaris Rally2,00:04:57.3520000,00:00:00,00:00:00,PSN,
2,Rebl11,Toyota GR Yaris Rally2,00:05:00.2300000,00:00:00,00:00:02.8780000,STEAM,
3,AlfaaLTU,Hyundai i20 N Rally2,00:05:00.7580000,00:00:00,00:00:03.4060000,PSN,
4,Pablitas555,Toyota GR Yaris Rally2,00:05:03.5330000,00:00:00,00:00:06.1810000,PSN,
5,LtuDK,WRC2 Builder Vehicle,00:05:09.1210000,00:00:00,00:00:11.7690000,STEAM,
6,TerryMakichut,ŠKODA Fabia RS Rally2,00:05:10.7240000,00:00:00,00:00:13.3720000,STEAM,
7,NiviDzimka,Toyota GR Yaris Rally2,00:05:12.6220000,00:00:00,00:00:15.2700000,EA,
8,BartasLT,ŠKODA Fabia RS Rally2,00:05:12.9580000,00:00:00,00:00:15.6060000,XBOX,
9,GOBOO23,ŠKODA Fabia RS Rally2,00:05:14.2480000,00:00:00,00:00:16.8960000,STEAM,
10,z3pis,ŠKODA Fabia Rally2 Evo,00:05:19.9960000,00:00:00,00:00:22.6440000,STEAM,
11,-Aleliumbas-,Hyundai i20 N Rally2,00:05:20.5620000,00:00:00,00:00:23.2100000,STEAM,
12,MartynasLy,Toyota GR Yaris Rally2,00:05:21.9940000,00:00:00,00:00:24.6420000,XBOX,
13,Justokas,Volkswagen Polo GTI R5,00:05:26.0530000,00:00:00,00:00:28.7010000,STEAM,
14,Liekorius,Toyota GR Yaris Rally2,00:05:26.0660000,00:00:00,00:00:28.7140000,STEAM,
15,ItalasLT,Ford Fiesta Rally2,00:05:26.1740000,00:00:10,00:00:28.8220000,STEAM,
16,PALiX00,ŠKODA Fabia RS Rally2,00:05:26.9630000,00:00:00,00:00:29.6110000,STEAM,
17,RallyFanatikai,Toyota GR Yaris Rally2,00:05:29.0350000,00:00:23,00:00:31.6830000,STEAM,
18,justux132,Ford Fiesta Rally2,00:05:34.6980000,00:00:00,00:00:37.3460000,STEAM,
19,Rytisklim,Ford Fiesta Rally2,00:05:37.3770000,00:00:00,00:00:40.0250000,STEAM,
20,Ged256,Ford Fiesta Rally2,00:05:39.2190000,00:00:00,00:00:41.8670000,STEAM,
21,Wycka2007,Toyota GR Yaris Rally2,00:05:43.2600000,00:00:00,00:00:45.9080000,PSN,
22,gruduvinis,Hyundai i20 N Rally2,00:06:29.0890000,00:00:00,00:01:31.7370000,STEAM,
