Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,Toyota GR Yaris Rally2,00:05:45.8900000,00:00:00,00:00:00,STEAM,
2,Pablitas555,Toyota GR Yaris Rally2,00:05:46.2660000,00:00:00,00:00:00.3760000,PSN,
3,DonKac11,Toyota GR Yaris Rally2,00:05:48.3680000,00:00:00,00:00:02.4780000,PSN,
4,LtuDK,WRC2 Builder Vehicle,00:05:50.9140000,00:00:00,00:00:05.0240000,STEAM,
5,AlfaaLTU,Hyundai i20 N Rally2,00:05:51.1150000,00:00:00,00:00:05.2250000,PSN,
6,Liekorius,Toyota GR Yaris Rally2,00:05:53.1850000,00:00:00,00:00:07.2950000,STEAM,
7,RallyFanatikai,Toyota GR Yaris Rally2,00:05:54.5160000,00:00:00,00:00:08.6260000,STEAM,
8,NiviDzimka,Toyota GR Yaris Rally2,00:05:54.5900000,00:00:00,00:00:08.7000000,EA,
9,PALiX00,ŠKODA Fabia RS Rally2,00:05:58.1660000,00:00:00,00:00:12.2760000,STEAM,
10,z3pis,ŠKODA Fabia Rally2 Evo,00:06:00.4600000,00:00:00,00:00:14.5700000,STEAM,
11,ItalasLT,Ford Fiesta Rally2,00:06:02.3400000,00:00:00,00:00:16.4500000,STEAM,
12,MartynasLy,Toyota GR Yaris Rally2,00:06:05.3190000,00:00:00,00:00:19.4290000,XBOX,
13,justux132,Ford Fiesta Rally2,00:06:05.9800000,00:00:00,00:00:20.0900000,STEAM,
14,BartasLT,ŠKODA Fabia RS Rally2,00:06:06.6940000,00:00:00,00:00:20.8040000,XBOX,
15,GOBOO23,ŠKODA Fabia RS Rally2,00:06:06.9200000,00:00:00,00:00:21.0300000,STEAM,
16,-Aleliumbas-,Hyundai i20 N Rally2,00:06:08.3690000,00:00:00,00:00:22.4790000,STEAM,
17,Justokas,Volkswagen Polo GTI R5,00:06:14.4840000,00:00:00,00:00:28.5940000,STEAM,
18,Wycka2007,Toyota GR Yaris Rally2,00:06:16.3120000,00:00:00,00:00:30.4220000,PSN,
19,TerryMakichut,ŠKODA Fabia RS Rally2,00:06:21.7030000,00:00:06,00:00:35.8130000,STEAM,
20,Ged256,Ford Fiesta Rally2,00:06:27.2260000,00:00:00,00:00:41.3360000,STEAM,
21,Rytisklim,Ford Fiesta Rally2,00:06:42.2990000,00:00:00,00:00:56.4090000,STEAM,
22,citradex,ŠKODA Fabia RS Rally2,00:07:31.5690000,00:00:30,00:01:45.6790000,STEAM,
23,gruduvinis,Hyundai i20 N Rally2,00:07:50.4450000,00:00:30,00:02:04.5550000,STEAM,
