Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:12:11.9630000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:12:18.2100000,00:00:00,00:00:06.2470000,PSN,
3,Pablitas555,Toyota GR Yaris Rally2,00:12:23.9690000,00:00:00,00:00:12.0060000,PSN,
4,Liekorius,ŠKODA Fabia RS Rally2,00:12:39.6220000,00:00:00,00:00:27.6590000,STEAM,
5,BartasLT,ŠKODA Fabia RS Rally2,00:12:47.8930000,00:00:00,00:00:35.9300000,XBOX,
6,RallyFanatikai,Toyota GR Yaris Rally2,00:12:53.9490000,00:00:00,00:00:41.9860000,STEAM,
7,PALiX00,WRC2 Builder Vehicle,00:12:59.9180000,00:00:00,00:00:47.9550000,STEAM,
8,EvilMe93,Toyota GR Yaris Rally2,00:13:03.3940000,00:00:00,00:00:51.4310000,STEAM,
9,ItalasLT,Toyota GR Yaris Rally2,00:13:06.5620000,00:00:00,00:00:54.5990000,STEAM,
10,vadishius,Toyota GR Yaris Rally2,00:13:20.8840000,00:00:00,00:01:08.9210000,STEAM,
11,ltukj72,Toyota GR Yaris Rally2,00:13:36.5000000,00:00:13,00:01:24.5370000,STEAM,
12,Justokas,Volkswagen Polo GTI R5,00:13:49.2360000,00:00:00,00:01:37.2730000,STEAM,
13,Ged256,Ford Fiesta Rally2,00:13:50.0730000,00:00:09,00:01:38.1100000,STEAM,
14,TerryMakichut,ŠKODA Fabia RS Rally2,00:13:50.5340000,00:00:30,00:01:38.5710000,STEAM,
15,-Aleliumbas-,Hyundai i20 N Rally2,00:13:55.1380000,00:00:00,00:01:43.1750000,STEAM,
16,z3pis,Volkswagen Polo GTI R5,00:14:03.6020000,00:00:05,00:01:51.6390000,STEAM,
17,Wycka2007,Toyota GR Yaris Rally2,00:14:14.8590000,00:00:00,00:02:02.8960000,PSN,
18,gruduvinis,ŠKODA Fabia Rally2 Evo,00:15:37.0200000,00:00:00,00:03:25.0570000,STEAM,
19,citradex,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:12:48.0370000,STEAM,
