Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:07:22.5390000,00:00:00,00:00:00,STEAM,
2,EvilMe93,Toyota GR Yaris Rally2,00:07:25.5530000,00:00:00,00:00:03.0140000,STEAM,
3,DonKac11,Toyota GR Yaris Rally2,00:07:26.3070000,00:00:00,00:00:03.7680000,PSN,
4,Pablitas555,Toyota GR Yaris Rally2,00:07:32.1400000,00:00:00,00:00:09.6010000,PSN,
5,RallyFanatikai,Toyota GR Yaris Rally2,00:07:34.7920000,00:00:00,00:00:12.2530000,STEAM,
6,BartasLT,ŠKODA Fabia RS Rally2,00:07:39.0060000,00:00:00,00:00:16.4670000,XBOX,
7,Mantas95_LT,Toyota GR Yaris Rally2,00:07:39.0160000,00:00:00,00:00:16.4770000,PSN,
8,Liekorius,ŠKODA Fabia RS Rally2,00:07:39.9560000,00:00:00,00:00:17.4170000,STEAM,
9,ItalasLT,Toyota GR Yaris Rally2,00:07:40.8960000,00:00:00,00:00:18.3570000,STEAM,
10,PALiX00,WRC2 Builder Vehicle,00:07:43.6170000,00:00:00,00:00:21.0780000,STEAM,
11,-Aleliumbas-,Hyundai i20 N Rally2,00:07:50.3670000,00:00:00,00:00:27.8280000,STEAM,
12,TerryMakichut,ŠKODA Fabia RS Rally2,00:07:56.6800000,00:00:00,00:00:34.1410000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:08:03.0810000,00:00:00,00:00:40.5420000,STEAM,
14,justux132,Ford Fiesta Rally2,00:08:05.8640000,00:00:08,00:00:43.3250000,STEAM,
15,z3pis,Volkswagen Polo GTI R5,00:08:06.8500000,00:00:00,00:00:44.3110000,STEAM,
16,ltukj72,Toyota GR Yaris Rally2,00:08:14.1390000,00:00:07,00:00:51.6000000,STEAM,
17,Ged256,Ford Fiesta Rally2,00:08:15.3860000,00:00:00,00:00:52.8470000,STEAM,
18,Wycka2007,Toyota GR Yaris Rally2,00:08:17.7760000,00:00:07,00:00:55.2370000,PSN,
19,vadishius,Toyota GR Yaris Rally2,00:08:26.1050000,00:00:12,00:01:03.5660000,STEAM,
20,gruduvinis,ŠKODA Fabia Rally2 Evo,00:09:24.7340000,00:00:00,00:02:02.1950000,STEAM,
21,citradex,ŠKODA Fabia RS Rally2,00:10:04.8240000,00:00:10,00:02:42.2850000,STEAM,
