Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,EvilMe93,Toyota GR Yaris Rally2,00:04:02.8800000,00:00:00,00:00:00,STEAM,
2,Rebl11,ŠKODA Fabia RS Rally2,00:04:03.4890000,00:00:00,00:00:00.6090000,STEAM,
3,Pablitas555,Toyota GR Yaris Rally2,00:04:03.7590000,00:00:00,00:00:00.8790000,PSN,
4,DonKac11,Toyota GR Yaris Rally2,00:04:04.1500000,00:00:00,00:00:01.2700000,PSN,
5,ItalasLT,Toyota GR Yaris Rally2,00:04:04.8920000,00:00:00,00:00:02.0120000,STEAM,
6,RallyFanatikai,Toyota GR Yaris Rally2,00:04:11.8410000,00:00:00,00:00:08.9610000,STEAM,
7,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:12.5600000,00:00:00,00:00:09.6800000,STEAM,
8,BartasLT,ŠKODA Fabia RS Rally2,00:04:13.2740000,00:00:00,00:00:10.3940000,XBOX,
9,Liekorius,ŠKODA Fabia RS Rally2,00:04:15.5570000,00:00:00,00:00:12.6770000,STEAM,
10,-Aleliumbas-,Hyundai i20 N Rally2,00:04:17.0590000,00:00:00,00:00:14.1790000,STEAM,
11,vadishius,Toyota GR Yaris Rally2,00:04:27.7380000,00:00:00,00:00:24.8580000,STEAM,
12,PALiX00,WRC2 Builder Vehicle,00:04:29.3480000,00:00:05,00:00:26.4680000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:04:33.2450000,00:00:00,00:00:30.3650000,STEAM,
14,Ged256,Ford Fiesta Rally2,00:04:36.9230000,00:00:08,00:00:34.0430000,STEAM,
15,gruduvinis,ŠKODA Fabia Rally2 Evo,00:05:01.1130000,00:00:00,00:00:58.2330000,STEAM,
16,Wycka2007,Toyota GR Yaris Rally2,00:05:24.1530000,00:00:28,00:01:21.2730000,PSN,
17,ltukj72,Toyota GR Yaris Rally2,00:08:00,00:08:00,00:03:57.1200000,STEAM,
18,citradex,ŠKODA Fabia RS Rally2,00:08:00,00:08:00,00:03:57.1200000,STEAM,
19,z3pis,Volkswagen Polo GTI R5,00:08:00,00:08:00,00:03:57.1200000,STEAM,
