Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:03:57.0620000,00:00:00,00:00:00,STEAM,
2,Pablitas555,Toyota GR Yaris Rally2,00:03:59.3240000,00:00:00,00:00:02.2620000,PSN,
3,Liekorius,ŠKODA Fabia RS Rally2,00:03:59.6840000,00:00:00,00:00:02.6220000,STEAM,
4,EvilMe93,Toyota GR Yaris Rally2,00:04:00.7810000,00:00:00,00:00:03.7190000,STEAM,
5,ltukj72,Toyota GR Yaris Rally2,00:04:02.9410000,00:00:00,00:00:05.8790000,STEAM,
6,ItalasLT,Toyota GR Yaris Rally2,00:04:03.9340000,00:00:00,00:00:06.8720000,STEAM,
7,DonKac11,Toyota GR Yaris Rally2,00:04:04.7540000,00:00:00,00:00:07.6920000,PSN,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:04:06.5340000,00:00:00,00:00:09.4720000,STEAM,
9,BartasLT,ŠKODA Fabia RS Rally2,00:04:08.9110000,00:00:00,00:00:11.8490000,XBOX,
10,PALiX00,WRC2 Builder Vehicle,00:04:11.0590000,00:00:00,00:00:13.9970000,STEAM,
11,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:12.5200000,00:00:00,00:00:15.4580000,STEAM,
12,-Aleliumbas-,Hyundai i20 N Rally2,00:04:15.4560000,00:00:00,00:00:18.3940000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:04:19.5960000,00:00:00,00:00:22.5340000,STEAM,
14,Wycka2007,Toyota GR Yaris Rally2,00:04:27.4950000,00:00:00,00:00:30.4330000,PSN,
15,Ged256,Ford Fiesta Rally2,00:04:29.8830000,00:00:11,00:00:32.8210000,STEAM,
16,vadishius,Toyota GR Yaris Rally2,00:04:41.3120000,00:00:07,00:00:44.2500000,STEAM,
17,gruduvinis,ŠKODA Fabia Rally2 Evo,00:05:18.4700000,00:00:00,00:01:21.4080000,STEAM,
18,citradex,ŠKODA Fabia RS Rally2,00:08:00,00:08:00,00:04:02.9380000,STEAM,
19,z3pis,Volkswagen Polo GTI R5,00:08:00,00:08:00,00:04:02.9380000,STEAM,
