Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:05:55.6140000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:05:59.3310000,00:00:00,00:00:03.7170000,PSN,
3,Pablitas555,Toyota GR Yaris Rally2,00:06:01.7630000,00:00:00,00:00:06.1490000,PSN,
4,EvilMe93,Toyota GR Yaris Rally2,00:06:05.8870000,00:00:00,00:00:10.2730000,STEAM,
5,Mantas95_LT,Toyota GR Yaris Rally2,00:06:06.9130000,00:00:00,00:00:11.2990000,PSN,
6,Liekorius,ŠKODA Fabia RS Rally2,00:06:13.5350000,00:00:06,00:00:17.9210000,STEAM,
7,PALiX00,WRC2 Builder Vehicle,00:06:14.3020000,00:00:00,00:00:18.6880000,STEAM,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:06:16.7510000,00:00:00,00:00:21.1370000,STEAM,
9,vadishius,Toyota GR Yaris Rally2,00:06:17.5610000,00:00:00,00:00:21.9470000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:06:17.9420000,00:00:00,00:00:22.3280000,XBOX,
11,z3pis,Volkswagen Polo GTI R5,00:06:21.6710000,00:00:00,00:00:26.0570000,STEAM,
12,ItalasLT,Toyota GR Yaris Rally2,00:06:22.7070000,00:00:00,00:00:27.0930000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:06:27.3660000,00:00:00,00:00:31.7520000,STEAM,
14,Ged256,Ford Fiesta Rally2,00:06:28.7460000,00:00:00,00:00:33.1320000,STEAM,
15,-Aleliumbas-,Hyundai i20 N Rally2,00:06:33.7850000,00:00:00,00:00:38.1710000,STEAM,
16,ltukj72,Toyota GR Yaris Rally2,00:06:35.2560000,00:00:05,00:00:39.6420000,STEAM,
17,TerryMakichut,ŠKODA Fabia RS Rally2,00:06:38.9910000,00:00:00,00:00:43.3770000,STEAM,
18,Wycka2007,Toyota GR Yaris Rally2,00:07:00.5930000,00:00:00,00:01:04.9790000,PSN,
19,gruduvinis,ŠKODA Fabia Rally2 Evo,00:07:16.5970000,00:00:00,00:01:20.9830000,STEAM,
20,citradex,ŠKODA Fabia RS Rally2,00:07:28.2580000,00:00:00,00:01:32.6440000,STEAM,
