Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,Hyundai i20 N Rally2,00:10:28.9790000,00:00:00,00:00:00,PSN,
2,3skimas,ŠKODA Fabia RS Rally2,00:10:31.3340000,00:00:00,00:00:02.3550000,STEAM,
3,Pablitas555,ŠKODA Fabia RS Rally2,00:10:31.7800000,00:00:00,00:00:02.8010000,PSN,
4,DonKac11,ŠKODA Fabia RS Rally2,00:10:35.2110000,00:00:00,00:00:06.2320000,PSN,
5,NiviDzimka,Toyota GR Yaris Rally2,00:10:38.3130000,00:00:00,00:00:09.3340000,EA,
6,VoidRob0t,Toyota GR Yaris Rally2,00:10:41.0320000,00:00:00,00:00:12.0530000,STEAM,
7,RallyFanatikai,ŠKODA Fabia RS Rally2,00:10:50.5580000,00:00:00,00:00:21.5790000,STEAM,
8,TerryMakichut,ŠKODA Fabia RS Rally2,00:10:59.1990000,00:00:00,00:00:30.2200000,STEAM,
9,PALiX00,WRC2 Builder Vehicle,00:11:17.1020000,00:00:05,00:00:48.1230000,STEAM,
10,Ged256,Ford Fiesta Rally2,00:11:19.4020000,00:00:00,00:00:50.4230000,STEAM,
11,vadishius,Toyota GR Yaris Rally2,00:11:28.2830000,00:00:00,00:00:59.3040000,STEAM,
12,BartasLT,ŠKODA Fabia RS Rally2,00:11:45.7450000,00:00:00,00:01:16.7660000,XBOX,
13,Andreliks,ŠKODA Fabia RS Rally2,00:12:08.2440000,00:00:00,00:01:39.2650000,PSN,
14,gruduvinis,ŠKODA Fabia RS Rally2,00:14:08.3200000,00:00:09,00:03:39.3410000,STEAM,
15,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:05:31.0210000,STEAM,
16,Liekorius,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:05:31.0210000,STEAM,
17,Rytisklim,Ford Fiesta Rally2,00:16:00,00:16:00,00:05:31.0210000,STEAM,
18,-Aleliumbas-,Ford Fiesta Rally2,00:16:00,00:16:00,00:05:31.0210000,STEAM,
19,citradex,Ford Fiesta Rally2,00:16:00,00:16:00,00:05:31.0210000,STEAM,
