Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Ford Escort RS Cosworth,00:05:21.2590000,00:00:00,00:00:00,PSN,
2,DonKac11,Ford Escort RS Cosworth,00:05:22.2430000,00:00:00,00:00:00.9840000,PSN,
3,EvilMe93,SUBARU Impreza 1995,00:05:27.9800000,00:00:00,00:00:06.7210000,STEAM,
4,PALiX00,SUBARU Impreza 1995,00:05:36.4500000,00:00:00,00:00:15.1910000,STEAM,
5,Eddie_Race,SUBARU Impreza 1995,00:05:43.9430000,00:00:00,00:00:22.6840000,STEAM,
6,Justokas,SUBARU Legacy RS,00:05:54.7460000,00:00:16,00:00:33.4870000,STEAM,
7,BartasLT,SUBARU Impreza 1995,00:05:55.6010000,00:00:00,00:00:34.3420000,XBOX,
8,-Aleliumbas-,SUBARU Impreza 1995,00:05:57.1380000,00:00:00,00:00:35.8790000,STEAM,
9,gruduvinis,SUBARU Impreza 1995,00:06:32.7010000,00:00:00,00:01:11.4420000,STEAM,
10,ItalasLT,Lancia Delta HF Integrale,00:07:36.5650000,00:01:58,00:02:15.3060000,STEAM,
