Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,AlfaaLTU,Hyundai i20 N Rally2,00:07:33.3950000,00:00:00,00:00:00,PSN,
2,DonKac11,ŠKODA Fabia RS Rally2,00:07:35.3420000,00:00:00,00:00:01.9470000,PSN,
3,3skimas,ŠKODA Fabia RS Rally2,00:07:36.2940000,00:00:00,00:00:02.8990000,STEAM,
4,VoidRob0t,Toyota GR Yaris Rally2,00:07:36.7690000,00:00:00,00:00:03.3740000,STEAM,
5,Liekorius,ŠKODA Fabia RS Rally2,00:07:38.1030000,00:00:00,00:00:04.7080000,STEAM,
6,Pablitas555,ŠKODA Fabia RS Rally2,00:07:39.2900000,00:00:00,00:00:05.8950000,PSN,
7,NiviDzimka,Toyota GR Yaris Rally2,00:07:41.2450000,00:00:00,00:00:07.8500000,EA,
8,ltukj72,ŠKODA Fabia RS Rally2,00:07:48.9670000,00:00:05,00:00:15.5720000,STEAM,
9,RallyFanatikai,ŠKODA Fabia RS Rally2,00:07:49.4490000,00:00:00,00:00:16.0540000,STEAM,
10,justux132,Ford Fiesta Rally2,00:07:56.0600000,00:00:00,00:00:22.6650000,STEAM,
11,-Aleliumbas-,Ford Fiesta Rally2,00:08:05.3120000,00:00:00,00:00:31.9170000,STEAM,
12,MartynasLy,Toyota GR Yaris Rally2,00:08:09.7800000,00:00:00,00:00:36.3850000,XBOX,
13,vadishius,Toyota GR Yaris Rally2,00:08:11.4720000,00:00:00,00:00:38.0770000,STEAM,
14,Ged256,Ford Fiesta Rally2,00:08:11.8610000,00:00:00,00:00:38.4660000,STEAM,
15,ItalasLT,Toyota GR Yaris Rally2,00:08:12.5010000,00:00:00,00:00:39.1060000,STEAM,
16,BartasLT,ŠKODA Fabia RS Rally2,00:08:14.4160000,00:00:00,00:00:41.0210000,XBOX,
17,TerryMakichut,ŠKODA Fabia RS Rally2,00:08:14.8680000,00:00:00,00:00:41.4730000,STEAM,
18,Rytisklim,Ford Fiesta Rally2,00:08:20.9410000,00:00:00,00:00:47.5460000,STEAM,
19,PALiX00,WRC2 Builder Vehicle,00:08:29.1850000,00:00:12,00:00:55.7900000,STEAM,
20,raimundas1,Citroën C3 Rally2,00:08:46.6810000,00:00:00,00:01:13.2860000,XBOX,
21,Andreliks,ŠKODA Fabia RS Rally2,00:09:14.6950000,00:00:10,00:01:41.3000000,PSN,
22,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:08:26.6050000,STEAM,
23,EvilMe93,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:08:26.6050000,STEAM,
24,The_Bad_X11,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:08:26.6050000,XBOX,
25,citradex,Ford Fiesta Rally2,00:16:00,00:16:00,00:08:26.6050000,STEAM,
26,Wycka2007,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:08:26.6050000,PSN,
