Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,Ford Escort RS Cosworth,00:06:41.1780000,00:00:00,00:00:00,PSN,
2,DonKac11,Ford Escort RS Cosworth,00:06:41.9340000,00:00:00,00:00:00.7560000,PSN,
3,EvilMe93,SUBARU Impreza 1995,00:06:48.8380000,00:00:00,00:00:07.6600000,STEAM,
4,ItalasLT,Lancia Delta HF Integrale,00:06:49.1630000,00:00:00,00:00:07.9850000,STEAM,
5,PALiX00,SUBARU Impreza 1995,00:06:52.5790000,00:00:00,00:00:11.4010000,STEAM,
6,Justokas,SUBARU Legacy RS,00:07:05.6820000,00:00:00,00:00:24.5040000,STEAM,
7,-Aleliumbas-,SUBARU Impreza 1995,00:07:05.8500000,00:00:00,00:00:24.6720000,STEAM,
8,BartasLT,SUBARU Impreza 1995,00:07:07.9780000,00:00:00,00:00:26.8000000,XBOX,
9,gruduvinis,SUBARU Impreza 1995,00:08:50.3060000,00:00:00,00:02:09.1280000,STEAM,
