Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:05:50.9300000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:05:55.7880000,00:00:00,00:00:04.8580000,PSN,
3,PALiX00,SUBARU Impreza 1995,00:05:58.9530000,00:00:00,00:00:08.0230000,STEAM,
4,ItalasLT,Lancia Delta HF Integrale,00:06:08.7230000,00:00:11,00:00:17.7930000,STEAM,
5,EvilMe93,SUBARU Impreza 1995,00:06:08.9600000,00:00:00,00:00:18.0300000,STEAM,
6,-Aleliumbas-,SUBARU Impreza 1995,00:06:12.5030000,00:00:00,00:00:21.5730000,STEAM,
7,Justokas,SUBARU Legacy RS,00:06:16.4900000,00:00:00,00:00:25.5600000,STEAM,
8,BartasLT,SUBARU Impreza 1995,00:06:22.5100000,00:00:00,00:00:31.5800000,XBOX,
9,gruduvinis,SUBARU Impreza 1995,00:16:00,00:16:00,00:10:09.0700000,STEAM,
