Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,VoidRob0t,Toyota GR Yaris Rally2,00:04:43.7210000,00:00:00,00:00:00,STEAM,
2,Liekorius,ŠKODA Fabia RS Rally2,00:04:49.3640000,00:00:00,00:00:05.6430000,STEAM,
3,RallyFanatikai,ŠKODA Fabia RS Rally2,00:04:49.7190000,00:00:00,00:00:05.9980000,STEAM,
4,3skimas,ŠKODA Fabia RS Rally2,00:04:50.2360000,00:00:00,00:00:06.5150000,STEAM,
5,AlfaaLTU,Hyundai i20 N Rally2,00:04:50.2730000,00:00:00,00:00:06.5520000,PSN,
6,Pablitas555,ŠKODA Fabia RS Rally2,00:04:50.8090000,00:00:00,00:00:07.0880000,PSN,
7,NiviDzimka,Toyota GR Yaris Rally2,00:04:52.6350000,00:00:00,00:00:08.9140000,EA,
8,DonKac11,ŠKODA Fabia RS Rally2,00:04:57.5210000,00:00:00,00:00:13.8000000,PSN,
9,PALiX00,WRC2 Builder Vehicle,00:05:00.5520000,00:00:00,00:00:16.8310000,STEAM,
10,TerryMakichut,ŠKODA Fabia RS Rally2,00:05:01.0220000,00:00:00,00:00:17.3010000,STEAM,
11,vadishius,Toyota GR Yaris Rally2,00:05:07.9720000,00:00:00,00:00:24.2510000,STEAM,
12,-Aleliumbas-,Ford Fiesta Rally2,00:05:10.5170000,00:00:00,00:00:26.7960000,STEAM,
13,BartasLT,ŠKODA Fabia RS Rally2,00:05:10.8620000,00:00:00,00:00:27.1410000,XBOX,
14,Ged256,Ford Fiesta Rally2,00:05:24.2510000,00:00:08,00:00:40.5300000,STEAM,
15,Rytisklim,Ford Fiesta Rally2,00:05:32.1380000,00:00:05,00:00:48.4170000,STEAM,
16,Justokas,Volkswagen Polo GTI R5,00:08:00,00:08:00,00:03:16.2790000,STEAM,
17,citradex,Ford Fiesta Rally2,00:08:00,00:08:00,00:03:16.2790000,STEAM,
18,gruduvinis,ŠKODA Fabia RS Rally2,00:08:00,00:08:00,00:03:16.2790000,STEAM,
