Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,3skimas,ŠKODA Fabia RS Rally2,00:08:22.6390000,00:00:00,00:00:00,STEAM,
2,Pablitas555,ŠKODA Fabia RS Rally2,00:08:27.6440000,00:00:00,00:00:05.0050000,PSN,
3,DonKac11,ŠKODA Fabia RS Rally2,00:08:35.9540000,00:00:00,00:00:13.3150000,PSN,
4,Liekorius,ŠKODA Fabia RS Rally2,00:08:39.8470000,00:00:00,00:00:17.2080000,STEAM,
5,PALiX00,WRC2 Builder Vehicle,00:08:44.5580000,00:00:08,00:00:21.9190000,STEAM,
6,TerryMakichut,ŠKODA Fabia RS Rally2,00:08:52.4010000,00:00:00,00:00:29.7620000,STEAM,
7,RallyFanatikai,ŠKODA Fabia RS Rally2,00:08:53.6170000,00:00:10,00:00:30.9780000,STEAM,
8,-Aleliumbas-,Ford Fiesta Rally2,00:08:57.9650000,00:00:00,00:00:35.3260000,STEAM,
9,vadishius,Toyota GR Yaris Rally2,00:09:07.8790000,00:00:00,00:00:45.2400000,STEAM,
10,Rytisklim,Ford Fiesta Rally2,00:09:35.8600000,00:00:00,00:01:13.2210000,STEAM,
11,BartasLT,ŠKODA Fabia RS Rally2,00:09:41.1520000,00:00:00,00:01:18.5130000,XBOX,
12,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:07:37.3610000,STEAM,
13,Ged256,Ford Fiesta Rally2,00:16:00,00:16:00,00:07:37.3610000,STEAM,
14,citradex,Ford Fiesta Rally2,00:16:00,00:16:00,00:07:37.3610000,STEAM,
15,AlfaaLTU,Hyundai i20 N Rally2,00:16:00,00:16:00,00:07:37.3610000,PSN,
16,VoidRob0t,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:37.3610000,STEAM,
17,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:07:37.3610000,STEAM,
