Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:10:35.0610000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:10:42.3420000,00:00:00,00:00:07.2810000,PSN,
3,PALiX00,SUBARU Impreza 1995,00:10:51.9590000,00:00:00,00:00:16.8980000,STEAM,
4,ItalasLT,Lancia Delta HF Integrale,00:10:53.1060000,00:00:00,00:00:18.0450000,STEAM,
5,EvilMe93,SUBARU Impreza 1995,00:11:05.1490000,00:00:00,00:00:30.0880000,STEAM,
6,-Aleliumbas-,SUBARU Impreza 1995,00:11:06.3470000,00:00:00,00:00:31.2860000,STEAM,
7,Justokas,SUBARU Legacy RS,00:11:11.4000000,00:00:00,00:00:36.3390000,STEAM,
8,BartasLT,SUBARU Impreza 1995,00:11:24.7070000,00:00:06,00:00:49.6460000,XBOX,
9,gruduvinis,SUBARU Impreza 1995,00:13:19.9890000,00:00:00,00:02:44.9280000,STEAM,
