Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:03:21.9950000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:03:28.3920000,00:00:00,00:00:06.3970000,PSN,
3,Justokas,SUBARU Legacy RS,00:03:37.9690000,00:00:00,00:00:15.9740000,STEAM,
4,-Aleliumbas-,SUBARU Impreza 1995,00:03:38.0680000,00:00:00,00:00:16.0730000,STEAM,
5,PALiX00,SUBARU Impreza 1995,00:03:41.4340000,00:00:00,00:00:19.4390000,STEAM,
6,EvilMe93,SUBARU Impreza 1995,00:03:47.6610000,00:00:00,00:00:25.6660000,STEAM,
7,BartasLT,SUBARU Impreza 1995,00:03:48.9860000,00:00:05,00:00:26.9910000,XBOX,
8,ItalasLT,Lancia Delta HF Integrale,00:03:57.3230000,00:00:21,00:00:35.3280000,STEAM,
9,gruduvinis,SUBARU Impreza 1995,00:08:00,00:08:00,00:04:38.0050000,STEAM,
