Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,VoidRob0t,Toyota GR Yaris Rally2,00:08:11.1880000,00:00:00,00:00:00,STEAM,
2,AlfaaLTU,Hyundai i20 N Rally2,00:08:15.3150000,00:00:00,00:00:04.1270000,PSN,
3,Liekorius,ŠKODA Fabia RS Rally2,00:08:21.7200000,00:00:00,00:00:10.5320000,STEAM,
4,Pablitas555,ŠKODA Fabia RS Rally2,00:08:23.3640000,00:00:00,00:00:12.1760000,PSN,
5,DonKac11,ŠKODA Fabia RS Rally2,00:08:31.8720000,00:00:06,00:00:20.6840000,PSN,
6,RallyFanatikai,ŠKODA Fabia RS Rally2,00:08:34.9610000,00:00:00,00:00:23.7730000,STEAM,
7,3skimas,ŠKODA Fabia RS Rally2,00:08:38.0970000,00:00:00,00:00:26.9090000,STEAM,
8,PALiX00,WRC2 Builder Vehicle,00:08:44.7870000,00:00:07,00:00:33.5990000,STEAM,
9,NiviDzimka,Toyota GR Yaris Rally2,00:08:49.1690000,00:00:05,00:00:37.9810000,EA,
10,-Aleliumbas-,Ford Fiesta Rally2,00:08:57.9590000,00:00:00,00:00:46.7710000,STEAM,
11,vadishius,Toyota GR Yaris Rally2,00:09:08.8920000,00:00:00,00:00:57.7040000,STEAM,
12,BartasLT,ŠKODA Fabia RS Rally2,00:09:10.4800000,00:00:00,00:00:59.2920000,XBOX,
13,Ged256,Ford Fiesta Rally2,00:09:27.1710000,00:00:13,00:01:15.9830000,STEAM,
14,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:07:48.8120000,STEAM,
15,MartynasLy,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:48.8120000,XBOX,
16,EvilMe93,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
17,Rytisklim,Ford Fiesta Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
18,ltukj72,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
19,ItalasLT,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
20,justux132,Ford Fiesta Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
21,The_Bad_X11,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:48.8120000,XBOX,
22,citradex,Ford Fiesta Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
23,Andreliks,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:07:48.8120000,PSN,
24,TerryMakichut,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
25,Wycka2007,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:07:48.8120000,PSN,
26,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:07:48.8120000,STEAM,
