Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,Toyota GR Yaris Rally2,00:08:39.7640000,00:00:00,00:00:00,STEAM,
2,LtuDK,WRC2 Builder Vehicle,00:08:43.6290000,00:00:00,00:00:03.8650000,STEAM,
3,Liekorius,Toyota GR Yaris Rally2,00:09:05.0050000,00:00:00,00:00:25.2410000,STEAM,
4,PALiX00,ŠKODA Fabia RS Rally2,00:09:11.2550000,00:00:00,00:00:31.4910000,STEAM,
5,Eddie_Race,Toyota GR Yaris Rally2,00:09:15.5430000,00:00:00,00:00:35.7790000,STEAM,
6,TerryMakichut,ŠKODA Fabia RS Rally2,00:09:18.1490000,00:00:00,00:00:38.3850000,STEAM,
7,ItalasLT,Volkswagen Polo GTI R5,00:09:22.5600000,00:00:00,00:00:42.7960000,STEAM,
8,DonKac11,Toyota GR Yaris Rally2,00:09:22.8670000,00:00:05,00:00:43.1030000,PSN,
9,RallyFanatikai,Toyota GR Yaris Rally2,00:09:23.6300000,00:00:00,00:00:43.8660000,STEAM,
10,vadishius,Toyota GR Yaris Rally2,00:09:31.9170000,00:00:00,00:00:52.1530000,STEAM,
11,BartasLT,ŠKODA Fabia RS Rally2,00:09:40.3680000,00:00:00,00:01:00.6040000,XBOX,
12,Ged256,Ford Fiesta Rally2,00:09:41.2490000,00:00:00,00:01:01.4850000,STEAM,
13,-Aleliumbas-,Hyundai i20 N Rally2,00:09:41.9530000,00:00:00,00:01:02.1890000,STEAM,
14,Justokas,Volkswagen Polo GTI R5,00:09:57.2510000,00:00:05,00:01:17.4870000,STEAM,
15,Wycka2007,Toyota GR Yaris Rally2,00:10:25.4080000,00:00:10,00:01:45.6440000,PSN,
16,Pablitas555,ŠKODA Fabia RS Rally2,00:10:43.1960000,00:01:30,00:02:03.4320000,PSN,
17,ADAs011,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:20.2360000,PSN,
18,laapiuks,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:20.2360000,EA,
19,1a3043f34a1c9bdd,Ford Fiesta Rally2,00:25:00,00:25:00,00:16:20.2360000,STEAM,
20,Isuzikass,Hyundai i20 N Rally2,00:25:00,00:25:00,00:16:20.2360000,XBOX,
21,citradex,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:20.2360000,STEAM,
22,ImN0Tskiller,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:20.2360000,STEAM,
23,gruduvinis,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:16:20.2360000,STEAM,
