Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,Toyota GR Yaris Rally2,00:04:31.6820000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:05:08.1710000,00:00:00,00:00:36.4890000,PSN,
3,-Aleliumbas-,Hyundai i20 N Rally2,00:05:12.4070000,00:00:00,00:00:40.7250000,STEAM,
4,TerryMakichut,ŠKODA Fabia RS Rally2,00:05:14.3380000,00:00:00,00:00:42.6560000,STEAM,
5,BartasLT,ŠKODA Fabia RS Rally2,00:05:15.8170000,00:00:00,00:00:44.1350000,XBOX,
6,ItalasLT,Volkswagen Polo GTI R5,00:05:16.2230000,00:00:00,00:00:44.5410000,STEAM,
7,Pablitas555,ŠKODA Fabia RS Rally2,00:05:25.5130000,00:00:30,00:00:53.8310000,PSN,
8,Isuzikass,Hyundai i20 N Rally2,00:05:28.0770000,00:00:00,00:00:56.3950000,XBOX,
9,Justokas,Volkswagen Polo GTI R5,00:05:31.4350000,00:00:00,00:00:59.7530000,STEAM,
10,vadishius,Toyota GR Yaris Rally2,00:05:32.1500000,00:00:00,00:01:00.4680000,STEAM,
11,PALiX00,ŠKODA Fabia RS Rally2,00:05:36.7810000,00:00:30,00:01:05.0990000,STEAM,
12,Liekorius,Toyota GR Yaris Rally2,00:05:38.5250000,00:00:30,00:01:06.8430000,STEAM,
13,Eddie_Race,Toyota GR Yaris Rally2,00:05:41.5940000,00:00:05,00:01:09.9120000,STEAM,
14,ADAs011,ŠKODA Fabia RS Rally2,00:05:58.5740000,00:00:00,00:01:26.8920000,PSN,
15,Wycka2007,Toyota GR Yaris Rally2,00:06:01.9250000,00:00:08,00:01:30.2430000,PSN,
16,RallyFanatikai,Toyota GR Yaris Rally2,00:06:06.0090000,00:00:10,00:01:34.3270000,STEAM,
17,LtuDK,WRC2 Builder Vehicle,00:06:41.4900000,00:00:07,00:02:09.8080000,STEAM,
18,1a3043f34a1c9bdd,Ford Fiesta Rally2,00:06:42.9120000,00:00:35,00:02:11.2300000,STEAM,
19,Ged256,Ford Fiesta Rally2,00:16:00,00:16:00,00:11:28.3180000,STEAM,
20,laapiuks,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:28.3180000,EA,
21,ltukj72,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:28.3180000,STEAM,
22,citradex,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:28.3180000,STEAM,
23,ImN0Tskiller,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:28.3180000,STEAM,
24,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:11:28.3180000,STEAM,
