Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,LtuDK,WRC2 Builder Vehicle,00:06:08.6810000,00:00:00,00:00:00,STEAM,
2,Eddie_Race,Toyota GR Yaris Rally2,00:06:15.3780000,00:00:00,00:00:06.6970000,STEAM,
3,RallyFanatikai,Toyota GR Yaris Rally2,00:06:19.8920000,00:00:00,00:00:11.2110000,STEAM,
4,TerryMakichut,ŠKODA Fabia RS Rally2,00:06:23.7060000,00:00:00,00:00:15.0250000,STEAM,
5,ItalasLT,Volkswagen Polo GTI R5,00:06:34.8200000,00:00:00,00:00:26.1390000,STEAM,
6,DonKac11,Toyota GR Yaris Rally2,00:06:38.7000000,00:00:00,00:00:30.0190000,PSN,
7,BartasLT,ŠKODA Fabia RS Rally2,00:06:49.7640000,00:00:00,00:00:41.0830000,XBOX,
8,laapiuks,ŠKODA Fabia RS Rally2,00:07:00.7750000,00:00:00,00:00:52.0940000,EA,
9,-Aleliumbas-,Hyundai i20 N Rally2,00:07:04.0310000,00:00:05,00:00:55.3500000,STEAM,
10,Pablitas555,ŠKODA Fabia RS Rally2,00:07:57.4930000,00:01:30,00:01:48.8120000,PSN,
11,vadishius,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
12,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:09:51.3190000,STEAM,
13,Ged256,Ford Fiesta Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
14,Rebl11,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
15,Liekorius,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
16,1a3043f34a1c9bdd,Ford Fiesta Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
17,PALiX00,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
18,citradex,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
19,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:51.3190000,STEAM,
