Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Pablitas555,ŠKODA Fabia RS Rally2,00:03:51.1890000,00:00:00,00:00:00,PSN,
2,PALiX00,ŠKODA Fabia RS Rally2,00:03:57.7640000,00:00:00,00:00:06.5750000,STEAM,
3,DonKac11,Toyota GR Yaris Rally2,00:04:05.9230000,00:00:00,00:00:14.7340000,PSN,
4,BartasLT,ŠKODA Fabia RS Rally2,00:04:06.4570000,00:00:00,00:00:15.2680000,XBOX,
5,Liekorius,Toyota GR Yaris Rally2,00:04:08.7460000,00:00:00,00:00:17.5570000,STEAM,
6,-Aleliumbas-,Hyundai i20 N Rally2,00:04:09.4010000,00:00:00,00:00:18.2120000,STEAM,
7,TerryMakichut,ŠKODA Fabia RS Rally2,00:04:09.9870000,00:00:00,00:00:18.7980000,STEAM,
8,Rebl11,Toyota GR Yaris Rally2,00:04:11.3110000,00:00:05,00:00:20.1220000,STEAM,
9,RallyFanatikai,Toyota GR Yaris Rally2,00:04:13.0450000,00:00:00,00:00:21.8560000,STEAM,
10,vadishius,Toyota GR Yaris Rally2,00:04:18.3800000,00:00:00,00:00:27.1910000,STEAM,
11,Ged256,Ford Fiesta Rally2,00:04:23.2230000,00:00:00,00:00:32.0340000,STEAM,
12,ItalasLT,Volkswagen Polo GTI R5,00:04:24.8690000,00:00:00,00:00:33.6800000,STEAM,
13,1a3043f34a1c9bdd,Ford Fiesta Rally2,00:04:27.0290000,00:00:00,00:00:35.8400000,STEAM,
14,ltukj72,ŠKODA Fabia RS Rally2,00:04:27.0430000,00:00:25,00:00:35.8540000,STEAM,
15,Wycka2007,Toyota GR Yaris Rally2,00:04:38.8670000,00:00:10,00:00:47.6780000,PSN,
16,Isuzikass,Hyundai i20 N Rally2,00:04:40.3720000,00:00:00,00:00:49.1830000,XBOX,
17,Eddie_Race,Toyota GR Yaris Rally2,00:04:50.5410000,00:00:00,00:00:59.3520000,STEAM,
18,ADAs011,ŠKODA Fabia RS Rally2,00:05:09.5590000,00:00:13,00:01:18.3700000,PSN,
19,citradex,ŠKODA Fabia RS Rally2,00:05:10.6400000,00:00:16,00:01:19.4510000,STEAM,
20,Justokas,Volkswagen Polo GTI R5,00:05:24.1780000,00:00:48,00:01:32.9890000,STEAM,
21,LtuDK,WRC2 Builder Vehicle,00:05:27.9910000,00:01:30,00:01:36.8020000,STEAM,
22,laapiuks,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:12:08.8110000,EA,
23,ImN0Tskiller,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:12:08.8110000,STEAM,
24,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:12:08.8110000,STEAM,
